Mod:Item:MetaData, Localized Name
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:salt_essence:0, Vis Salt
thaumadditions:seal_symbol, Seal Symbol: @ASPECT
thaumadditions:vis_pod, %s Vis Pod
thaumadditions:vis_seeds, %s Vis Seeds
thaumadditions:void_seed, Void Seed
thaumadditions:chester, Chester
thaumadditions:knowledge_tome, Tome of Sharing
thaumadditions:disenchant_fabric, Fabric of Disenchantment
thaumadditions:crystal_bag, Crystal Bag
thaumadditions:void_fruit, Void Fruit
thaumadditions:mithrillium_smelter, Mithrillium Smeltery
thaumadditions:adaminite_smelter, Adaminite Smeltery
thaumadditions:mithminite_smelter, Mithminite Smeltery
thaumadditions:aura_disperser, Aura Disperser
thaumadditions:aspect_combiner, Essentia Combiner
thaumadditions:aura_charger, Aura Charger
thaumadditions:crystal_crusher, Crystal Crusher
thaumadditions:crystal_bore, Crystal Bore
thaumadditions:entity_summoner, Entity Summoner
thaumadditions:puriflower, Puriflower
thaumadditions:flux_concentrator, Flux Concentrator
thaumadditions:cake, Arcane Cake
thaumadditions:dawn_totem, Totem of Dawn
thaumadditions:twilight_totem, Twilight Totem
thaumadditions:growth_chamber, Crystal Growth Chamber
thaumadditions:seal, Arcane Seal
thaumadditions:shadow_enchanter, Shadow Enchanter
thaumadditions:thaumic_lectern, Thaumonomicon Lectern
thaumadditions:void_anvil, Void Anvil
thaumadditions:essentia_sink, Essentia Sink
thaumadditions:jar_brass, Brass Warded Jar
thaumadditions:jar_thaumium, Thaumium Reinforced Jar
thaumadditions:jar_eldritch, Void Reinforced Jar
thaumadditions:jar_mithrillium, Mithrillium Fortified Jar
thaumadditions:jar_adaminite, Adaminite Fortified Jar
thaumadditions:jar_mithminite, Mithminite Fortified Jar
thaumadditions:crystal_block, @ASPECT Crystal Block
thaumadditions:taintkin, Taintkin
thaumadditions:taintkin_lit, Taint o' Lantern
thaumadditions:mithrillium_block, Mithrillium Block
thaumadditions:adaminite_block, Adaminite Block
thaumadditions:mithminite_block, Mithminite Block
thaumadditions:taintwood_planks, Taintwood Planks
thaumadditions:chiseled_amber_block, Chiseled Amber Block
thaumadditions:iron_framed_greatwood, Iron Framed Greatwood
thaumadditions:brass_plated_silverwood, Brass Plated Silverwood
thaumadditions:chiseled_greatwood, Chiseled Greatwood
thaumadditions:amber_lamp, Amber Lamp
thaumadditions:crystal_lamp, Crystal Lamp
thaumadditions:vis_seeds/aer, item.thaumadditions:vis_seeds/aer.name
thaumadditions:vis_seeds/terra, item.thaumadditions:vis_seeds/terra.name
thaumadditions:vis_seeds/ignis, item.thaumadditions:vis_seeds/ignis.name
thaumadditions:vis_seeds/aqua, item.thaumadditions:vis_seeds/aqua.name
thaumadditions:vis_seeds/ordo, item.thaumadditions:vis_seeds/ordo.name
thaumadditions:vis_seeds/perditio, item.thaumadditions:vis_seeds/perditio.name
thaumadditions:vis_seeds/vacuos, item.thaumadditions:vis_seeds/vacuos.name
thaumadditions:vis_seeds/lux, item.thaumadditions:vis_seeds/lux.name
thaumadditions:vis_seeds/motus, item.thaumadditions:vis_seeds/motus.name
thaumadditions:vis_seeds/gelum, item.thaumadditions:vis_seeds/gelum.name
thaumadditions:vis_seeds/vitreus, item.thaumadditions:vis_seeds/vitreus.name
thaumadditions:vis_seeds/metallum, item.thaumadditions:vis_seeds/metallum.name
thaumadditions:vis_seeds/victus, item.thaumadditions:vis_seeds/victus.name
thaumadditions:vis_seeds/mortuus, item.thaumadditions:vis_seeds/mortuus.name
thaumadditions:vis_seeds/potentia, item.thaumadditions:vis_seeds/potentia.name
thaumadditions:vis_seeds/permutatio, item.thaumadditions:vis_seeds/permutatio.name
thaumadditions:vis_seeds/praecantatio, item.thaumadditions:vis_seeds/praecantatio.name
thaumadditions:vis_seeds/auram, item.thaumadditions:vis_seeds/auram.name
thaumadditions:vis_seeds/alkimia, item.thaumadditions:vis_seeds/alkimia.name
thaumadditions:vis_seeds/vitium, item.thaumadditions:vis_seeds/vitium.name
thaumadditions:vis_seeds/tenebrae, item.thaumadditions:vis_seeds/tenebrae.name
thaumadditions:vis_seeds/alienis, item.thaumadditions:vis_seeds/alienis.name
thaumadditions:vis_seeds/volatus, item.thaumadditions:vis_seeds/volatus.name
thaumadditions:vis_seeds/herba, item.thaumadditions:vis_seeds/herba.name
thaumadditions:vis_seeds/instrumentum, item.thaumadditions:vis_seeds/instrumentum.name
thaumadditions:vis_seeds/fabrico, item.thaumadditions:vis_seeds/fabrico.name
thaumadditions:vis_seeds/machina, item.thaumadditions:vis_seeds/machina.name
thaumadditions:vis_seeds/vinculum, item.thaumadditions:vis_seeds/vinculum.name
thaumadditions:vis_seeds/spiritus, item.thaumadditions:vis_seeds/spiritus.name
thaumadditions:vis_seeds/cognitio, item.thaumadditions:vis_seeds/cognitio.name
thaumadditions:vis_seeds/sensus, item.thaumadditions:vis_seeds/sensus.name
thaumadditions:vis_seeds/aversio, item.thaumadditions:vis_seeds/aversio.name
thaumadditions:vis_seeds/praemunio, item.thaumadditions:vis_seeds/praemunio.name
thaumadditions:vis_seeds/desiderium, item.thaumadditions:vis_seeds/desiderium.name
thaumadditions:vis_seeds/exanimis, item.thaumadditions:vis_seeds/exanimis.name
thaumadditions:vis_seeds/bestia, item.thaumadditions:vis_seeds/bestia.name
thaumadditions:vis_seeds/humanus, item.thaumadditions:vis_seeds/humanus.name
thaumadditions:vis_seeds/fames, item.thaumadditions:vis_seeds/fames.name
thaumadditions:vis_seeds/corpus, item.thaumadditions:vis_seeds/corpus.name
thaumadditions:vis_seeds/invidia, item.thaumadditions:vis_seeds/invidia.name
thaumadditions:vis_seeds/gula, item.thaumadditions:vis_seeds/gula.name
thaumadditions:vis_seeds/luxuria, item.thaumadditions:vis_seeds/luxuria.name
thaumadditions:vis_seeds/infernus, item.thaumadditions:vis_seeds/infernus.name
thaumadditions:vis_seeds/superbia, item.thaumadditions:vis_seeds/superbia.name
thaumadditions:vis_seeds/desidia, item.thaumadditions:vis_seeds/desidia.name
thaumadditions:vis_seeds/ira, item.thaumadditions:vis_seeds/ira.name
thaumadditions:vis_seeds/mythus, item.thaumadditions:vis_seeds/mythus.name
thaumadditions:vis_seeds/sol, item.thaumadditions:vis_seeds/sol.name
thaumadditions:vis_seeds/fluctus, item.thaumadditions:vis_seeds/fluctus.name
thaumadditions:vis_seeds/sonus, item.thaumadditions:vis_seeds/sonus.name
thaumadditions:vis_seeds/exitium, item.thaumadditions:vis_seeds/exitium.name
thaumadditions:vis_seeds/caeles, item.thaumadditions:vis_seeds/caeles.name
thaumadditions:vis_seeds/draco, item.thaumadditions:vis_seeds/draco.name
thaumadditions:vis_seeds/infernum, item.thaumadditions:vis_seeds/infernum.name
thaumadditions:vis_seeds/ventus, item.thaumadditions:vis_seeds/ventus.name
thaumadditions:vis_seeds/visum, item.thaumadditions:vis_seeds/visum.name
thaumadditions:vis_seeds/imperium, item.thaumadditions:vis_seeds/imperium.name
thaumicbases:oldcobble, Ancient Cobblestone
thaumicbases:oldcobblemossy, Ancient Mossy Cobblestone
thaumicbases:oldgravel, Ancient Gravel
thaumicbases:oldbrick, Ancient Bricks
thaumicbases:oldlapis, Ancient Lapis Lazuli Block
thaumicbases:oldiron, Ancient Iron Block
thaumicbases:oldgold, Ancient Gold Block
thaumicbases:olddiamond, Ancient Diamond Block
thaumicbases:quicksilverblock, Block of Quicksilver
thaumicbases:quicksilverbrick, Quicksilver Brick
thaumicbases:dustblock, Salis Mundus Block
thaumicbases:blockthauminite, Block of Thauminite
thaumicbases:irongreatwood, Iron-Framed Greatwood
thaumicbases:eldritchark, Gold-Etched Obsidian
thaumicbases:crystalblockair, Air Crystal Block
thaumicbases:crystalblockfire, Fire Crystal Block
thaumicbases:crystalblockwater, Water Crystal Block
thaumicbases:crystalblockearth, Earth Crystal Block
thaumicbases:crystalblockorder, Order Crystal Block
thaumicbases:crystalblockentropy, Entropy Crystal Block
thaumicbases:crystalblockmixed, Primal Crystal Block
thaumicbases:crystalblocktainted, Tainted Crystal Block
thaumicbases:thaumic_anvil:0, Thaumium Anvil
thaumicbases:thaumic_anvil:1, Slightly Damaged Thaumium Anvil
thaumicbases:thaumic_anvil:2, Very Damaged Thaumium Anvil
thaumicbases:void_anvil:0, Void metal Anvil
thaumicbases:void_anvil:1, Slightly Damaged Void metal Anvil
thaumicbases:void_anvil:2, Very Damaged Void metal Anvil
thaumicbases:pyrosolid, Crystallized Pyrofluid
thaumicbases:rainbowcactus, Rainbow Cactus
thaumicbases:aurelia, Aurelia Flower
thaumicbases:briar, Briar Flowerbush
thaumicbases:ashroom, Primal Shroom
thaumicbases:ironspike, Iron Spikes
thaumicbases:thaumspike, Thaumium Spikes
thaumicbases:voidspike, Void Spikes
thaumicbases:goldenlogs, Golden Apple Wood
thaumicbases:goldenleaves, Golden Apple Leaves
thaumicbases:goldensapling, Golden Apple Sapling
thaumicbases:goldenplanks, Golden Apple Planks
thaumicbases:endersapling, Enden Sapling
thaumicbases:enderlogs, Enden Wood
thaumicbases:enderleaves, Enden Leaves
thaumicbases:enderplanks, Enden Wood Planks
thaumicbases:nethersapling, Infernal Sapling
thaumicbases:netherlogs, Infernal Wood
thaumicbases:netherleaves, Infernal Leaves
thaumicbases:netherplanks, Infernal Planks
thaumicbases:peacesapling, Peaceful Sapling
thaumicbases:peacelogs, Peaceful Wood
thaumicbases:peaceleaves, Peaceful Leaves
thaumicbases:peaceplanks, Peaceful Planks
thaumicbases:overchanter, Overchanting Table
thaumicbases:campfire, Magical Campfire
thaumicbases:braizer, Magical Brazier
thaumicbases:nuggetthauminite, Thauminite Nugget
thaumicbases:thauminite_ingot, Thauminite Ingot
thaumicbases:thauminite_plate, Thauminite Plate
thaumicbases:bloodycloth, Bloodied Fabric
thaumicbases:thauminiteaxe, Thauminite Axe
thaumicbases:thauminitepickaxe, Thauminite Pickaxe
thaumicbases:thauminitesword, Thauminite Sword
thaumicbases:thauminiteshovel, Thauminite Shovel
thaumicbases:thauminitehoe, Thauminite Hoe
thaumicbases:voidshears, Void Shears
thaumicbases:voidfas, Void Flint and Steel
thaumicbases:plaxseed, Plax Seeds
thaumicbases:sweedseed, Sweed Seeds
thaumicbases:aureliapetal, Aurelia Petal
thaumicbases:metalleatseed, Metalleat Seeds
thaumicbases:lazulliaseed, Lazullia Seeds
thaumicbases:briar_seedbag, Briar Seed Bag
thaumicbases:redlonseed, Redlon Seed
thaumicbases:lucriteseed, Lucrite Seeds
thaumicbases:glieoniaseed, Glieonia Seed
thaumicbases:voidseed, Void Plant Seed
thaumicbases:knozeseed, Rosa Mysteria Sprout
thaumicbases:bloodychest, Bloody Thaumaturge's Robe
thaumicbases:bloodylegs, Bloody Thaumaturge's Leggings
thaumicbases:bloodyboots, Bloody Thaumaturge's Boots
thaumicbases:thauminitehelmet, Thauminite Helmet
thaumicbases:thauminitechest, Thauminite Chestplate
thaumicbases:thauminitelegs, Thauminite Leggings
thaumicbases:thauminiteboots, Thauminite Boots
thaumicbases:herobrinesscythe, Scythe Of The White-Eyed One
thaumicbases:tobacco_eldritch, Voidseer's Tobacco
thaumicbases:tobacco_fighting, Berserken Tobacco
thaumicbases:tobacco_hunger, Nourishing Tobacco
thaumicbases:tobacco_knowledge, Enlightening Tobacco
thaumicbases:tobacco_mining, Miner's Tobacco
thaumicbases:tobacco_pile, Tobacco Pile
thaumicbases:tobacco_sanity, Prudent Tobacco
thaumicbases:tobacco_tainted, Fetid Tobacco
thaumicbases:tobacco_wispy, Wispy Tobacco
thaumicbases:tobaccoseed, Tobacco Seed
thaumicbases:tobacco_leaves, Tobacco Leaf
thaumicbases:mortar, Mortar And Pestle
thaumicbases:greatwoodpipe, Greatwood Puffpipe
thaumicbases:silverwoodpipe, Silverwood Puffpipe
thaumicbases:rosehipsyrup, Rosehip Syrup
thaumicbases:revolver, Thaumaturge's Revolver
thaumicbases:ukulele:0, Magical Ukulele
thaumicbases:knowledge_shard, Knowledge Shard
thaumcraft:ore_amber, Amber Bearing Stone
thaumcraft:ore_cinnabar, Cinnabar Ore
thaumcraft:ore_quartz, Quartz Ore
thaumcraft:crystal_aer, Air Crystal
thaumcraft:crystal_ignis, Fire Crystal
thaumcraft:crystal_aqua, Water Crystal
thaumcraft:crystal_terra, Earth Crystal
thaumcraft:crystal_ordo, Order Crystal
thaumcraft:crystal_perditio, Entropy Crystal
thaumcraft:crystal_vitium, Flux Crystal
thaumcraft:stone_arcane, Arcane Stone
thaumcraft:stone_arcane_brick, Arcane Stone Brick
thaumcraft:stone_ancient, Ancient Stone
thaumcraft:stone_ancient_tile, Ancient Stone Tile
thaumcraft:stone_ancient_rock, Ancient Rock
thaumcraft:stone_ancient_glyphed, Glyphed Stone
thaumcraft:stone_ancient_doorway, Ancient Barrier
thaumcraft:stone_eldritch_tile, Eldritch Stone
thaumcraft:stone_porous, Porous Stone
thaumcraft:stairs_arcane, Arcane Stone Stairs
thaumcraft:stairs_arcane_brick, Arcane Brick Stairs
thaumcraft:stairs_ancient, Ancient Stone Stairs
thaumcraft:slab_arcane_stone:0, Arcane Stone Slab
thaumcraft:slab_arcane_brick:0, Arcane Brick Slab
thaumcraft:slab_ancient:0, Ancient Stone Slab
thaumcraft:slab_eldritch:0, Eldritch Stone Slab
thaumcraft:sapling_greatwood, Greatwood Sapling
thaumcraft:sapling_silverwood, Silverwood Sapling
thaumcraft:log_greatwood, Greatwood Log
thaumcraft:log_silverwood, Silverwood Log
thaumcraft:leaves_greatwood, Greatwood Leaves
thaumcraft:leaves_silverwood, Silverwood Leaves
thaumcraft:shimmerleaf, Shimmerleaf
thaumcraft:cinderpearl, Cinderpearl
thaumcraft:vishroom, Vishroom
thaumcraft:plank_greatwood, Greatwood Planks
thaumcraft:plank_silverwood, Silverwood Planks
thaumcraft:stairs_greatwood, Greatwood Stairs
thaumcraft:stairs_silverwood, Silverwood Stairs
thaumcraft:slab_greatwood:0, Greatwood Slab
thaumcraft:slab_silverwood:0, Silverwood Slab
thaumcraft:amber_block, Amber Block
thaumcraft:amber_brick, Amber Bricks
thaumcraft:flesh_block, Block of Flesh
thaumcraft:loot_crate_common, Common Crate
thaumcraft:loot_crate_uncommon, Uncommon Crate
thaumcraft:loot_crate_rare, Rare Crate
thaumcraft:loot_urn_common, Common Urn
thaumcraft:loot_urn_uncommon, Uncommon Urn
thaumcraft:loot_urn_rare, Rare Urn
thaumcraft:taint_fibre, Fibrous Taint
thaumcraft:taint_crust, Crusted Taint
thaumcraft:taint_soil, Tainted Soil
thaumcraft:taint_rock, Tainted Rock
thaumcraft:taint_geyser, Taint Geyser
thaumcraft:taint_feature, Swollen Taint
thaumcraft:taint_log, Taintwood Log
thaumcraft:grass_ambient, Ambient Grass Block
thaumcraft:table_wood, Wood Table
thaumcraft:table_stone, Stone Table
thaumcraft:pedestal_arcane, Arcane Pedestal
thaumcraft:pedestal_ancient, Ancient Pedestal
thaumcraft:pedestal_eldritch, Eldritch Pedestal
thaumcraft:metal_brass, Brass Block
thaumcraft:metal_thaumium, Thaumium Block
thaumcraft:metal_void, Void Metal Block
thaumcraft:metal_alchemical, Alchemical Construct
thaumcraft:metal_alchemical_advanced, Advanced Alchemical Construct
thaumcraft:paving_stone_travel, Paving Stone of Travel
thaumcraft:paving_stone_barrier, Barrier Stone
thaumcraft:pillar_arcane, Infusion Pillar
thaumcraft:pillar_ancient, Ancient Infusion Pillar
thaumcraft:pillar_eldritch, Eldritch Infusion Pillar
thaumcraft:matrix_speed, Infusion Speed Stone
thaumcraft:matrix_cost, Infusion Cost Stone
thaumcraft:candle_white, White Tallow Candle
thaumcraft:candle_orange, Orange Tallow Candle
thaumcraft:candle_magenta, Magenta Tallow Candle
thaumcraft:candle_lightblue, Light Blue Tallow Candle
thaumcraft:candle_yellow, Yellow Tallow Candle
thaumcraft:candle_lime, Lime Tallow Candle
thaumcraft:candle_pink, Pink Tallow Candle
thaumcraft:candle_gray, Gray Tallow Candle
thaumcraft:candle_silver, Light Gray Tallow Candle
thaumcraft:candle_cyan, Cyan Tallow Candle
thaumcraft:candle_purple, Purple Tallow Candle
thaumcraft:candle_blue, Blue Tallow Candle
thaumcraft:candle_brown, Brown Tallow Candle
thaumcraft:candle_green, Green Tallow Candle
thaumcraft:candle_red, Red Tallow Candle
thaumcraft:candle_black, Black Tallow Candle
thaumcraft:banner_white, White Banner
thaumcraft:banner_orange, Orange Banner
thaumcraft:banner_magenta, Magenta Banner
thaumcraft:banner_lightblue, Light Blue Banner
thaumcraft:banner_yellow, Yellow Banner
thaumcraft:banner_lime, Lime Banner
thaumcraft:banner_pink, Pink Banner
thaumcraft:banner_gray, Gray Banner
thaumcraft:banner_silver, Light Gray Banner
thaumcraft:banner_cyan, Cyan Banner
thaumcraft:banner_purple, Purple Banner
thaumcraft:banner_blue, Blue Banner
thaumcraft:banner_brown, Brown Banner
thaumcraft:banner_green, Green Banner
thaumcraft:banner_red, Red Banner
thaumcraft:banner_black, Black Banner
thaumcraft:banner_crimson_cult, Crimson Cult Banner
thaumcraft:nitor_white, White Nitor
thaumcraft:nitor_orange, Orange Nitor
thaumcraft:nitor_magenta, Magenta Nitor
thaumcraft:nitor_lightblue, Light Blue Nitor
thaumcraft:nitor_yellow, Yellow Nitor
thaumcraft:nitor_lime, Lime Nitor
thaumcraft:nitor_pink, Pink Nitor
thaumcraft:nitor_gray, Gray Nitor
thaumcraft:nitor_silver, Light Gray Nitor
thaumcraft:nitor_cyan, Cyan Nitor
thaumcraft:nitor_purple, Purple Nitor
thaumcraft:nitor_blue, Blue Nitor
thaumcraft:nitor_brown, Brown Nitor
thaumcraft:nitor_green, Green Nitor
thaumcraft:nitor_red, Red Nitor
thaumcraft:nitor_black, Black Nitor
thaumcraft:vis_battery, Vis Battery
thaumcraft:inlay, Redstone Inlay
thaumcraft:arcane_workbench, Arcane Workbench
thaumcraft:arcane_workbench_charger, Workbench Charger
thaumcraft:dioptra, Thaumic Dioptra
thaumcraft:research_table, Research Table
thaumcraft:crucible, Crucible
thaumcraft:arcane_ear, Arcane Ear
thaumcraft:arcane_ear_toggle, Arcane Ear (Toggle)
thaumcraft:lamp_arcane, Arcane Lamp
thaumcraft:lamp_fertility, Lamp of Fertility
thaumcraft:lamp_growth, Lamp of Growth  
thaumcraft:levitator, Arcane Levitator
thaumcraft:centrifuge, Essentia Centrifuge
thaumcraft:bellows, Arcane Bellows
thaumcraft:smelter_basic, Essentia Smeltery
thaumcraft:smelter_thaumium, Thaumium Essentia Smeltery
thaumcraft:smelter_void, Void Metal Essentia Smeltery
thaumcraft:smelter_aux, Auxiliary Slurry Pump
thaumcraft:smelter_vent, Auxiliary Venting Port
thaumcraft:alembic, Arcane Alembic
thaumcraft:recharge_pedestal, Recharge Pedestal
thaumcraft:wand_workbench, Focal Manipulator
thaumcraft:hungry_chest, Hungry Chest
thaumcraft:tube, Essentia Tube
thaumcraft:tube_valve, Essentia Valve
thaumcraft:tube_restrict, Restricted Essentia Tube
thaumcraft:tube_oneway, Directional Essentia Tube
thaumcraft:tube_filter, Filtered Essentia Tube
thaumcraft:tube_buffer, Essentia Buffer
thaumcraft:jar_normal, Warded Jar
thaumcraft:jar_void, Void Jar
thaumcraft:jar_brain, Brain in a Jar
thaumcraft:infusion_matrix, Runic Matrix
thaumcraft:infernal_furnace, Infernal Furnace
thaumcraft:everfull_urn, Everfull Urn
thaumcraft:thaumatorium, Thaumatorium
thaumcraft:thaumatorium_top, Thaumatorium
thaumcraft:brain_box, Mnemonic Matrix
thaumcraft:spa, Arcane Spa
thaumcraft:golem_builder, Golem Press
thaumcraft:mirror, Magic Mirror
thaumcraft:mirror_essentia, Essentia Mirror
thaumcraft:essentia_input, Filling Essentia Transfuser
thaumcraft:essentia_output, Emptying Essentia Transfuser
thaumcraft:redstone_relay, Redstone Relay
thaumcraft:pattern_crafter, Arcane Pattern Crafter
thaumcraft:potion_sprayer, Potion Sprayer
thaumcraft:activator_rail, Arcane Activator Rail
thaumcraft:stabilizer, Stabilizer
thaumcraft:vis_generator, Vis Generator
thaumcraft:condenser, Flux Condenser
thaumcraft:condenser_lattice, Flux Condenser Lattice
thaumcraft:condenser_lattice_dirty, Clogged Flux Condenser Lattice
thaumcraft:void_siphon, Void Siphon
thaumcraft:hole, Dimensional Tear
thaumcraft:effect_shock, Static Field
thaumcraft:effect_sap, Sapping Field
thaumcraft:effect_glimmer, Glimmer
thaumcraft:placeholder_brick, Infernal Furnace
thaumcraft:placeholder_obsidian, Infernal Furnace
thaumcraft:placeholder_bars, Golem Press
thaumcraft:placeholder_anvil, Golem Press
thaumcraft:placeholder_cauldron, Golem Press
thaumcraft:placeholder_table, Golem Press
thaumcraft:empty, Empty Space
thaumcraft:barrier, Warding Aura
forge:bucketfilled, %s Bucket
appliedenergistics2:quartz_ore, Certus Quartz Ore
appliedenergistics2:charged_quartz_ore, Charged Certus Quartz Ore
appliedenergistics2:matrix_frame, Matrix Frame
appliedenergistics2:quartz_block, Certus Quartz Block
appliedenergistics2:quartz_pillar, Certus Quartz Pillar
appliedenergistics2:chiseled_quartz_block, Chiseled Certus Quartz Block
appliedenergistics2:quartz_glass, Quartz Glass
appliedenergistics2:quartz_vibrant_glass, Vibrant Quartz Glass
appliedenergistics2:quartz_fixture, Charged Quartz Fixture
appliedenergistics2:fluix_block, Fluix Block
appliedenergistics2:sky_stone_block, Sky Stone
appliedenergistics2:smooth_sky_stone_block, Sky Stone Block
appliedenergistics2:sky_stone_brick, Sky Stone Brick
appliedenergistics2:sky_stone_small_brick, Sky Stone Small Brick
appliedenergistics2:sky_stone_chest, Sky Stone Chest
appliedenergistics2:smooth_sky_stone_chest, Sky Stone Block Chest
appliedenergistics2:sky_compass, Meteorite Compass
appliedenergistics2:grindstone, Quartz Grindstone
appliedenergistics2:crank, Wooden Crank
appliedenergistics2:inscriber, Inscriber
appliedenergistics2:wireless_access_point, ME Wireless Access Point
appliedenergistics2:charger, Charger
appliedenergistics2:tiny_tnt, Tiny TNT
appliedenergistics2:security_station, ME Security Terminal
appliedenergistics2:quantum_ring, ME Quantum Ring
appliedenergistics2:quantum_link, ME Quantum Link Chamber
appliedenergistics2:spatial_pylon, Spatial Pylon
appliedenergistics2:spatial_io_port, Spatial IO Port
appliedenergistics2:controller, ME Controller
appliedenergistics2:drive, ME Drive
appliedenergistics2:chest, ME Chest
appliedenergistics2:interface, ME Interface
appliedenergistics2:fluid_interface, ME Fluid Interface
appliedenergistics2:cell_workbench, Cell Workbench
appliedenergistics2:io_port, ME IO Port
appliedenergistics2:condenser, Matter Condenser
appliedenergistics2:energy_acceptor, Energy Acceptor
appliedenergistics2:vibration_chamber, Vibration Chamber
appliedenergistics2:quartz_growth_accelerator, Crystal Growth Accelerator
appliedenergistics2:energy_cell, Energy Cell
appliedenergistics2:dense_energy_cell, Dense Energy Cell
appliedenergistics2:creative_energy_cell, Creative Energy Cell
appliedenergistics2:crafting_unit, Crafting Unit
appliedenergistics2:crafting_accelerator, Crafting Co-Processing Unit
appliedenergistics2:crafting_storage_1k, 1k Crafting Storage
appliedenergistics2:crafting_storage_4k, 4k Crafting Storage
appliedenergistics2:crafting_storage_16k, 16k Crafting Storage
appliedenergistics2:crafting_storage_64k, 64k Crafting Storage
appliedenergistics2:crafting_monitor, Crafting Monitor
appliedenergistics2:molecular_assembler, Molecular Assembler
appliedenergistics2:light_detector, Light Detecting Fixture
appliedenergistics2:paint, tile.appliedenergistics2.paint.name
appliedenergistics2:sky_stone_stairs, Sky Stone Stairs
appliedenergistics2:smooth_sky_stone_stairs, Sky Stone Block Stairs
appliedenergistics2:sky_stone_brick_stairs, Sky Stone Brick Stairs
appliedenergistics2:sky_stone_small_brick_stairs, Sky Stone Small Brick Stairs
appliedenergistics2:fluix_stairs, Fluix Stairs
appliedenergistics2:quartz_stairs, Certus Quartz Stairs
appliedenergistics2:chiseled_quartz_stairs, Chiseled Certus Quartz Stairs
appliedenergistics2:quartz_pillar_stairs, Certus Quartz Pillar Stairs
appliedenergistics2:cable_bus, AE2 Cable and/or Bus
appliedenergistics2:sky_stone_slab:0, Sky Stone Slabs
appliedenergistics2:smooth_sky_stone_slab:0, Sky Stone Block Slabs
appliedenergistics2:sky_stone_brick_slab:0, Sky Stone Brick Slabs
appliedenergistics2:sky_stone_small_brick_slab:0, Sky Stone Small Brick Slabs
appliedenergistics2:fluix_slab:0, Fluix Slabs
appliedenergistics2:quartz_slab:0, Certus Quartz Slabs
appliedenergistics2:chiseled_quartz_slab:0, Chiseled Certus Quartz Slabs
appliedenergistics2:quartz_pillar_slab:0, Certus Quartz Pillar Slabs
appliedenergistics2:certus_quartz_axe, Certus Quartz Axe
appliedenergistics2:certus_quartz_hoe, Certus Quartz Hoe
appliedenergistics2:certus_quartz_spade, Certus Quartz Shovel
appliedenergistics2:certus_quartz_pickaxe, Certus Quartz Pickaxe
appliedenergistics2:certus_quartz_sword, Certus Quartz Sword
appliedenergistics2:certus_quartz_wrench, Certus Quartz Wrench
appliedenergistics2:certus_quartz_cutting_knife, Certus Quartz Cutting Knife
appliedenergistics2:nether_quartz_axe, Nether Quartz Axe
appliedenergistics2:nether_quartz_hoe, Nether Quartz Hoe
appliedenergistics2:nether_quartz_spade, Nether Quartz Shovel
appliedenergistics2:nether_quartz_pickaxe, Nether Quartz Pickaxe
appliedenergistics2:nether_quartz_sword, Nether Quartz Sword
appliedenergistics2:nether_quartz_wrench, Nether Quartz Wrench
appliedenergistics2:nether_quartz_cutting_knife, Nether Quartz Cutting Knife
appliedenergistics2:entropy_manipulator, Entropy Manipulator
appliedenergistics2:wireless_terminal, Wireless Terminal
appliedenergistics2:charged_staff, Charged Staff
appliedenergistics2:matter_cannon, Matter Cannon
appliedenergistics2:portable_cell, Portable Cell
appliedenergistics2:color_applicator, Color Applicator
appliedenergistics2:biometric_card, Biometric Card
appliedenergistics2:memory_card, Memory Card
appliedenergistics2:network_tool, Network Tool
appliedenergistics2:creative_storage_cell, Creative ME Storage Cell
appliedenergistics2:view_cell, View Cell
appliedenergistics2:storage_cell_1k, 1k ME Storage Cell
appliedenergistics2:storage_cell_4k, 4k ME Storage Cell
appliedenergistics2:storage_cell_16k, 16k ME Storage Cell
appliedenergistics2:storage_cell_64k, 64k ME Storage Cell
appliedenergistics2:fluid_storage_cell_1k, 1k ME Fluid Storage Cell
appliedenergistics2:fluid_storage_cell_4k, 4k ME Fluid Storage Cell
appliedenergistics2:fluid_storage_cell_16k, 16k ME Fluid Storage Cell
